Site,number,movement,temp,pH,cond,DO,Turb,Cl,Nitrate,Mo,Fe,Ld,NH4,Ph,Nitrite,Cu,Si,Sulfide,Fluoride,Sulfate,Hg,Ni,Ca,Tl,Tp,Th,Hb,Rcr,Rce,Sl,Efr,Efl,Rr,Aa,Sa,Dr
1,0,Lo,30.6,7.77,0,8.38,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,Lo,30.7,7.66,3.05,8.43,27.66,0,1.76,0,0.04,0.08,0.17,0.08,0.495,0.06,2.68,0.01,0,1,0.04,0,,0,0,1,0,0,0,0,0,0,0,0,0,0
3,0,Lo,26.8,6.63,96.7,4.76,77.4,0,8.932,0,0.27,0,0.23,0.24,0.231,0.03,3.94,0,1.2,4,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,Len,28,8.21,38.7,3.51,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,Lo,28,8.21,38.7,3.51,119.41,0,0,0,0.72,0,0.22,0.4,0.066,0.44,3.72,0,1,5,0,0,,0,0,2,0,0,0,0,0,0,0,0,0,0
6,0,Len,29.7,6.85,60.8,5.34,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
7,3,Lo,33.3,7.54,5.33,5.47,53.5,0,2.156,0,0.2,0.08,4.704,2.36,0.792,0.04,15.68,0.01,0,19,0.02,0,,0,0,2,0,0,0,0,0,0,0,0,0,0
8,0,Len,31,6.03,33.5,3.07,55.96,0.07,0.528,0,0.96,0,0.18,0.08,0.297,0.04,6.44,0.01,0,0,0.07,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,Lo,28.8,6.47,51.6,4.86,29.13,0.01,1.276,0,1.25,0,0.78,0.11,0.066,0.11,7.6,0,0,0,0.05,0,,0,0,0,0,0,0,1,0,0,0,0,0,0
10,2,Len,33.5,6.63,61.5,5.26,29.16,0.09,1.496,0,1.17,0,0.8,0.24,0.198,0.16,14.92,0.01,0,0,0.06,0,,0,1,2,0,0,0,0,0,0,0,0,0,0
11,0,Len,26.5,6.66,57.3,6.76,35.85,0.04,2.42,0,1.08,0,0.83,0.15,0.297,0.09,10.04,0,0,5,0.1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
12,3,Lo,25.3,6.89,93.8,7.45,26.3,0.09,2.156,0,0.85,0,0.99,0.07,0.33,0.07,12.96,0,0,0,0.08,0,,0,0,2,0,0,0,0,0,0,0,0,0,0
13,0,Len,28.6,6.4,30,8.04,42.91,0,0,0,1.14,0,0.89,0.02,0.132,0.03,6.68,0,0,3,0.07,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,Lo,28.7,8.79,34.4,9.45,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
15,7,Len,30.1,6.69,34.5,7.27,44.74,0.83,1.1,0,0.69,0.07,0.24,0,0.099,0.15,5.62,0.01,0.7,5,0.02,0,,0,0,6,0,0,0,0,0,0,0,0,0,0
16,0,Len,33.6,6.97,27.8,8.92,132.25,0.16,0,0,1.05,0,0.21,0,0,0.37,6.36,0,0.5,5,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
17,5,Len,33.1,6.62,51.9,6.09,34.23,0.1,1.276,0,0.55,0,0.22,0.04,0.066,0.11,5.22,0.01,0.8,1,0.05,0,,0,0,3,0,0,0,0,0,0,0,0,0,0
18,0,Lo,29.3,6.89,45.5,8.96,20.78,0.1,0.308,0,0.29,0.01,0.17,0.22,0.033,0.04,3.15,0,0.6,1,0.1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,Lo,29.4,7.68,383,9.41,18.62,0.1,0.308,0,0.26,0.05,0.26,0.19,0.099,0,4.94,0.01,0.8,52,0.06,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
20,5,Len,29.9,6.3,0,4.49,286.14,0.01,0,0,3.18,0,0.18,0.05,0,0,2.99,0,0,21,0.01,0,,0,0,0,0,0,0,0,3,0,1,0,0,0
21,17,Lo,27.4,6.64,137.2,6.64,26.48,0.05,0.352,0,1.84,0.15,0.3,0.2,0.165,0.12,4.1,0.02,0,7,0.19,0,,0,1,0,2,0,0,0,12,0,0,1,0,0
22,13,Len,32.1,6.55,43.6,2.85,25.34,0.08,0,0,1.73,0,0.39,0.13,0.099,0.09,2.28,0.01,0,2,0.06,0,,0,5,4,0,0,0,0,3,0,0,0,0,0
23,0,Len,29.6,8.27,3.9,8.96,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,1,0,0,0,0,0
24,3,Len,30.3,6.71,43.9,7.51,14.64,0.11,0.22,0,0.4,0.01,0.19,0.52,0.066,0.06,2.88,0.01,0,0,0.02,0,,0,1,1,0,0,0,0,0,0,0,0,0,0
25,3,Len,29,8.72,44.2,9.56,10.43,0.06,0.176,0,0.3,0,0.19,0,0.099,0,1.41,0.01,0,5,0.09,0,,0,0,2,0,0,0,1,0,0,0,0,0,0
26,13,Len,29.6,6.31,30.9,8.96,26.43,0.1,0.088,0,1.53,0,0.94,0.08,0.099,0.08,6.14,0,0,4,0.08,0,,0,3,2,1,0,0,2,2,0,0,0,0,0
27,0,Len,30.1,6.17,54.2,8.43,16.41,0,0.044,0,0.4,0,4.44,0.01,0.165,0.07,3.3,0.02,0.9,24,0.03,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
28,5,Len,32.3,6.24,39.5,6.75,24.63,0.15,0,0,1.1,0,3.08,0.01,0.165,0.09,3.93,0,0.7,1,0,0,,0,0,1,0,0,0,0,1,0,0,0,0,0
29,0,Len,32.8,6.34,40,8.23,27.33,0.1,0,0,1.32,0,1.404,0.17,0.198,0.15,3.94,0.03,0.5,4,0.05,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
30,4,Lo,28.6,7.77,86.4,11.13,10.67,0.05,0,0,0.47,0,1.534,0.25,0.198,0.09,3.56,0.01,0,3,0.04,0,,0,0,0,0,0,0,0,1,0,0,0,0,0
31,6,Len,30,7.82,88.4,10.4,43.96,0.12,0,0,0.37,0,1.118,0.24,0.165,0,3.75,0.01,0.7,3,0.01,0,,0,0,1,0,0,0,0,1,0,0,1,0,0
32,0,Len,29.9,7.48,238,6.76,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
33,7,Len,28.9,7.51,118.2,5.51,19.42,0,0,0,0.51,0,1.209,1.83,0.33,0.06,3.81,0,0,0,0.03,0,,0,0,1,0,0,0,1,1,2,0,1,0,0
34,0,Lo,28.7,7.61,159.6,6.62,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
35,5,Lo,29.6,7.7,112,10.82,16.38,0.08,0,0,0.42,0,2.444,0.55,0.066,0,6.6,0.01,0,1,0,0,,0,1,2,0,0,0,0,0,0,0,0,0,0
36,3,Lo,30.6,8.15,58.2,3.37,22.04,0.05,0.22,0,0.52,0,1.222,0.5,0.033,0,3.54,0,0,1,0.02,0,,0,1,1,0,0,0,0,0,0,0,0,0,0
37,1,Len,31,8.23,39.1,5.05,29.94,0,0.132,0,0.74,0,1.157,0.21,0,0,4.5,0,0,1,0.03,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2,Len,28.2,7.73,251,11.57,12.15,0.08,0,0,0.35,0.12,1.105,0.31,0.033,0.08,3.5,0.01,0,11,0.02,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
